chainage,AdvanceRate,RPM,Torque,Thrust,Penetration,ShieldPressure
42.0,35.4849244954092,5.364559898164551,4.235066279103846,24.762389745697213,7.556726348052605,1.404354099490352
43.0,36.98992669649176,5.286074546520788,3.98938017402401,24.86537535993405,7.870122799080167,1.4309393582699916
44.0,37.33467547204138,5.294720277283152,3.8017043539559987,24.321780063283533,8.192277726348175,1.4567180155430648
45.0,38.42913363365805,5.465891538680695,3.6473351145141506,23.930123966393044,8.570023535672622,1.4923190665810495
46.0,39.18705468385674,5.51756852729178,3.4933144862693934,23.753782410936445,9.210524897056128,1.5221844878798505
47.0,40.340797981379644,5.510238582682815,3.3929522400291923,22.838358313275926,9.597402262430347,1.4975390998009583
48.0,42.19440497178336,5.642613437255758,3.2108759761050933,21.989919248806714,10.054599508873919,1.5351017152333024
49.0,43.22030170055247,5.695405135477814,3.107260848925896,21.437416179669118,10.706387162547019,1.4947599141351111
50.0,44.50289161520189,5.773415579203142,3.0170017884119296,20.70763621464232,10.833512602649183,1.5430741668461163
51.0,46.46565203541999,5.754649681949649,2.937769155689839,20.06966692117376,11.4687365930761,1.5216925094387033
52.0,47.197299549527976,5.943741125845933,2.8465534832732757,19.883130200438607,12.139342943300022,1.5396975880592887
53.0,49.058326900375185,5.986098566399215,2.778323112451221,18.93843744862999,12.511258111403158,1.5122222697987817
54.0,50.17679008385852,5.958961588865679,2.7139924444501164,18.30113079310552,13.092751049161178,1.5261567915895948
55.0,51.66145690852857,6.093694106762308,2.588518481563909,17.740072984297274,13.271769236912682,1.4962725966297792
56.0,52.81445959388446,6.1578308905530115,2.5423916766582515,16.98207878745683,13.806260402476253,1.4703465880467508
57.0,53.24591940375711,6.194085693007203,2.541478145101864,16.738394168254885,13.955136510077722,1.4898193922788447
58.0,54.478515271245,6.244333954978696,2.5119857172118154,15.713963197642455,14.519404617665652,1.4948373127064738
59.0,54.89008212193197,6.3436255603805485,2.4282759747862412,15.774943063703194,14.907715555155804,1.5045208581368579
60.0,56.32052827839402,6.3342301201639355,2.3643941698165807,15.422601342239588,15.153298874180113,1.5052383595660546
61.0,56.33152339399445,6.370671151290108,2.3355494409002375,14.953845704465737,15.417136633549124,1.5708326232967673
62.0,55.91582975531975,6.3448225467147665,2.2829452691768695,15.277493407103844,15.516967348866892,1.631550330984134
63.0,55.78769487081721,6.447596404406389,2.27364184015527,15.81280614286718,15.444292743515852,1.6463673891629875
64.0,55.19527886897818,6.422553524759298,2.2671277111478965,15.960874512518307,15.121239679291754,1.7403230560931617
65.0,53.036181427497695,6.41549649842566,2.301282195464055,16.145074239637434,15.112224761894849,1.834448531544231
66.0,51.44969807233558,6.466180655663051,2.3309130272961447,16.483203408133335,14.97758064578104,1.9513903825601768
67.0,51.41636629721623,6.488317055363299,2.436047846246763,16.573286254656967,14.67447431795562,2.0250124723673126
68.0,50.927551521772294,6.457819631096639,2.547051632463032,16.87568309304399,14.49408898621718,2.0777393908173165
69.0,49.68453365809291,6.3958088808384135,2.6157958325591117,16.598826070126833,14.310173529278723,2.0853277237427763
70.0,50.15296593930889,6.441848741491089,2.807348825577829,17.298098292898125,14.334045864580087,2.0681625941021524
71.0,50.74321564269782,6.376731319060122,2.8953903580981537,16.76281149500314,14.256955044431658,1.9811165015761572
72.0,51.63247693748832,6.467202815176324,2.9643257942221104,16.911691240861433,14.271889901283611,1.9166290747273056
73.0,52.15435855139426,6.280174618391994,3.0799726143551256,16.549828522668903,14.415652828217816,1.8010790533435626
74.0,52.82414341497551,6.332766717785116,3.0654090367656885,16.455800870906188,14.660279199187485,1.7485016857775695
75.0,53.821959609341036,6.228600442166666,3.047669449926391,16.062345404082507,14.926376287126821,1.6460246181132798
76.0,54.803928625364435,6.288593024489124,2.9818992571299856,16.25398089332418,14.981054611223671,1.5567417647034314
77.0,55.99616944089153,6.238056258144705,2.8108928498463404,15.63961007511795,15.153655305509208,1.4704298822908912
78.0,55.758704188863824,6.172826903591587,2.6129093773797365,15.256653274249668,15.229389866420188,1.4775849900968996
79.0,56.82382982755127,6.2304739553122035,2.4977880568264026,15.081701253926482,15.337059716553918,1.435877724108553
80.0,56.87391725525404,6.293926476849701,2.4008976644799542,14.845617588350676,15.455598536437819,1.4845694960694644
81.0,56.59059129432899,6.419453748269615,2.2943255118927937,15.165655854774256,15.502905098919562,1.462284696263486
82.0,55.93201310127195,6.417365720204123,2.2248988862684613,15.291724757755373,15.662924892847771,1.4959133915057654
83.0,55.62758708205904,6.4384942152735665,2.240147264837027,15.451589634249004,15.308160291461345,1.516712918999275
84.0,54.63401074400256,6.359753447890874,2.332370386027958,15.572471661607516,15.338095619747481,1.5204531720379957
85.0,53.78596422135068,6.400941049489399,2.4414275864231385,15.597763573946718,15.315391992021436,1.5717020983703864
86.0,53.863420575293446,6.424058456880758,2.468113593279786,15.570139226660363,15.4358612522751,1.577084330595794
87.0,54.51917225274745,6.405598095288588,2.5653355947894734,15.972307887554575,15.202792959634795,1.5372977630414293
88.0,54.88543771294406,6.4190074647683355,2.6602096237989907,15.63177159138609,15.440968912872439,1.5204203238065594
